UKXIUKMET [GFS tracker] (Interpolated 06 hours)|-|32.3 74.1 109|-|33.6 76.0 103|-|34.1 77.4 100|-|34.1 78.4 94|-|34.0 79.1 90|-|33.9 79.7 87|-|34.1 80.7 77|-|34.8 82.1 67|-|36.8 83.4 61|-|38.7 84.7 54
XTRPA simple extrapolation using past 12-hr motion|-|32.1 74.2|-|33.8 76.7|-|35.5 79.3|-|37.2 81.9|-|38.9 84.5|-|40.6 87.3|-|42.3 90.0|-|44.0 92.9|-|45.6 95.9|-|47.3 98.9
CMC2Canadian model (Interpolated 12 hours)|31.2 73.1 111|-|32.8 75.0 109|-|34.0 76.2 106|-|34.7 76.8 98|-|35.0 77.1 95|-|35.0 77.5 92|-|34.8 78.3 85|-|34.7 80.0 73|-|35.1 81.7 65|-|35.5 83.4 73
COTCNRL COAMPS-TC model (Navy Regional Hurricane Model)|31.5 72.7 121|32.7 73.8 116|33.6 74.8 108|34.3 75.5 106|34.5 75.9 89|34.7 76.2 90|34.7 76.3 83|34.7 76.5 82|34.5 76.7 74|34.3 77.0 65|34.1 77.1 66|33.9 77.4 71|33.4 78.0 64|33.3 78.9 59|33.2 79.8 50|33.0 81.0 27|33.0 82.0 21|33.2 83.1 15|33.9 84.4 14
EGR2UKMET model GTS (Official), with subjective quality control applied to the tracker (Interpolated 12 hours)|31.3 73.1 117|-|32.9 75.3 122|-|33.8 76.8 121|-|34.1 77.7 113|-|34.2 78.1 103|-|34.1 78.6 95|-|34.2 79.5 86|-|34.6 80.9 74|-|35.9 82.3 65|-|38.1 82.6 60
EGRRUKMET model GTS (Official), with subjective quality control applied to the tracker|31.5 73.2 82|-|33.1 75.4 83|-|33.9 76.9 85|-|34.0 78.1 73|-|33.9 78.7 65|-|33.6 79.3 60|-|33.6 79.9 55|-|33.9 81.4 33|-|35.2 82.8 27|-|37.7 84.1 18
HMONHurricane Multi-scale Ocean-coupled Non-hydrostatic model|31.4 73.2 125|32.3 74.4 113|33.2 75.4 111|33.7 76.3 113|34.0 77.0 108|34.1 77.8 81|34.1 78.3 62|34.2 78.7 52|34.1 79.2 42|34.0 79.9 38|34.0 80.5 33|33.8 81.3 32|34.0 82.0 27|34.3 83.4 21|34.9 85.4 18|35.6 86.8 18|35.9 87.7 17|36.9 88.2 10|38.2 88.5 12
HWRFHurricane Weather Research and Forecasting model|31.5 73.2 104|32.5 74.3 103|33.1 75.3 109|33.7 76.2 117|34.0 77.1 111|34.1 77.8 88|34.2 78.5 71|34.1 79.3 59|33.9 79.8 50|33.8 80.5 44|33.6 81.0 42|33.7 81.6 41|33.8 82.3 40|34.2 83.3 36|35.1 84.7 37|36.0 85.9 35|36.9 86.7 25|37.9 86.8 19|39.1 86.5 19
NAM2NWS / NAM model (Interpolated 12 hours)|31.4 72.9 110|-|33.0 74.8 108|-|33.9 76.0 105|-|34.1 76.3 100|-|33.9 76.3 102|-|33.5 76.7 98|-|33.1 77.1 102|-|-|-|-|-|-
NGXNAVGEM [GFS tracker] - 2013 and later (previously version of NOGAPS)|31.6 72.8 71|32.6 73.9 74|33.4 74.6 81|34.0 75.3 87|34.3 75.6 90|34.4 76.0 89|34.3 76.2 81|34.1 76.4 79|33.9 76.4 77|33.6 76.7 77|33.3 77.0 81|-|32.6 77.7 79|-|32.2 78.9 88|-|32.5 80.4 72|-|33.6 82.2 39
NGX2NAVGEM [GFS tracker] (Interpolated 12 hours) - 2013 and later (previously version of NOGAPS)|31.3 73.1 121|-|33.0 75.1 122|-|33.8 76.3 119|-|34.1 76.9 109|-|34.2 77.2 97|-|34.0 77.8 91|-|34.0 78.9 82|-|34.4 81.1 68|-|35.6 83.9 53|-|37.1 86.2 47
NVGMNavy Global Environmental Model (NAVGEM)|31.5 72.8 71|32.6 73.9 74|33.4 74.6 81|34.0 75.3 87|34.3 75.6 90|34.4 76.0 89|34.3 76.2 81|34.1 76.4 79|33.9 76.4 77|33.6 76.7 77|33.3 77.0 81|33.0 77.4 81|32.6 77.6 79|32.4 78.3 92|32.3 78.9 88|32.2 79.7 82|32.5 80.4 72|32.9 81.4 53|33.6 82.2 39
OFCLNational Hurricane Center (NHC) official forecast (in ATCF system and not from advisory data)|31.1 73.1 120|-|32.6 75.1 125|-|33.5 76.5 120|-|33.8 77.4 105|-|-|-|33.6 78.4 85|-|-|-|33.6 80.4 45|-|-|-|34.7 82.8 25
UKXUKMET [GFS tracker]|31.3 73.2 70|-|33.1 75.3 58|-|33.9 77.0 56|-|34.0 78.1 54|-|34.0 78.9 43|-|33.7 79.4 45|-|33.8 80.0 39|-|33.9 81.4 24|-|35.1 83.1 18|-|37.9 84.0 12
UKX2UKMET [GFS tracker] (Interpolated 12 hours)|31.2 73.1 118|-|33.0 75.2 116|-|33.9 76.8 115|-|34.1 77.7 113|-|34.2 78.2 107|-|34.1 78.6 100|-|34.2 79.4 92|-|34.6 80.9 83|-|35.8 82.7 74|-|37.1 84.4 83
