description|6|12|18|24|30|36|42|48|54|60|66|72|78|84|90|96|102|108|114|120
AEMIGFS Ensemble Mean (Interpolated 06 hours)|-|13.8N 71.1W|-|13.9N 75.2W|-|14.2N 79.0W|-|14.8N 82.7W|-|15.8N 86.1W|-|16.8N 88.6W|-|17.7N 90.4W|-|18.3N 91.9W|-|18.8N 92.9W|-|19.5N 93.7W
AVNIPrevious cycle GFS, adjusted (Interpolated 06 hours)|-|13.8N 71.1W|-|13.8N 75.1W|-|14.2N 79.0W|-|15.1N 82.5W|-|16.0N 86.3W|-|16.7N 89.2W|-|17.5N 90.9W|-|18.4N 92.4W|-|18.9N 93.6W|-|18.9N 94.5W
CEM2Canadian model Ensemble Mean (Interpolated 12 hours)|-|14.1N 70.6W|-|14.6N 74.2W|-|15.4N 77.6W|-|16.2N 81.0W|-|17.1N 84.1W|-|18.1N 86.7W|-|19.0N 88.6W|-|19.6N 90.2W|-|20.1N 91.3W|-|20.9N 92.0W
CLP5CLImatology and PERsistance model 5-day (CLIPER5)|-|14.3N 70.6W|-|14.8N 74.0W|-|15.4N 77.1W|-|16.2N 80.0W|-|17.0N 82.6W|-|17.7N 85.0W|-|18.5N 87.2W|-|19.5N 89.2W|-|20.5N 90.4W|-|21.5N 91.4W
CMC2Canadian model (Interpolated 12 hours)|-|14.2N 70.6W|-|14.9N 74.3W|-|15.8N 78.1W|-|16.9N 81.9W|-|17.8N 85.3W|-|18.3N 87.5W|-|19.0N 88.9W|-|20.0N 89.9W|-|20.8N 90.9W|-|21.4N 91.8W
COTINRL COAMPS-TC model (Navy Regional Hurricane Model) (Interpolated 06 hours)|-|14.2N 71.0W|-|14.5N 74.9W|-|15.7N 78.5W|-|17.3N 82.4W|-|18.6N 86.1W|-|19.7N 88.8W|-|20.5N 91.0W|-|20.9N 92.8W|-|20.9N 94.4W|-|20.9N 95.9W
CTCINRL COAMPS-TC 5km model (experimental version) (Interpolated 06 hours)|-|14.0N 71.0W|-|14.4N 75.0W|-|14.8N 78.9W|-|15.5N 82.5W|-|16.7N 86.0W|-|17.5N 88.6W|-|18.2N 90.4W|-|18.3N 91.6W|-|18.7N 92.5W|-|19.4N 93.4W
DRCLDeMaria Radii CLImatology and PERsistence (CLIPER) model|-|14.1N 70.9W|-|14.4N 74.9W|-|14.9N 78.7W|-|15.7N 82.4W|-|-|-|17.5N 88.0W|-|-|-|19.0N 91.5W|-|-|-|19.5N 93.5W
DSHPDecay Statistical Hurricane Intensity Prediction Scheme (SHIPS) model|-|14.1N 70.7W|-|14.4N 74.8W|-|14.8N 78.6W|-|15.6N 81.7W|-|16.5N 85.1W|-|17.4N 88.1W|-|18.0N 90.1W|-|18.5N 91.1W|-|19.0N 92.3W|-|19.6N 93.8W
EGR2UKMET model GTS (Official), with subjective quality control applied to the tracker (Interpolated 12 hours)|-|14.2N 70.7W|-|14.6N 74.6W|-|15.3N 78.1W|-|16.5N 81.6W|-|17.5N 85.0W|-|18.2N 87.8W|-|18.8N 89.7W|-|19.3N 91.3W|-|19.5N 92.5W|-|19.9N 93.7W
